gene_symbol	Blood and lymphatic system disorders	Cardiac disorders	Ear and labyrinth disorders	Endocrine disorders	Eye disorders	Gastrointestinal disorders	Hepatobiliary disorders	Immune system disorders	Metabolism and nutrition disorders	Musculoskeletal and connective tissue disorders	Nervous system disorders	Pregnancy, puerperium and perinatal conditions	Renal and urinary disorders	Reproductive system and breast disorders	Respiratory, thoracic and mediastinal disorders	Skin and subcutaneous tissue disorders	Vascular disorders
CYP39A1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.2	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.2
CYP3A4	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed
CYP3A43	0.3	0.8	0.8	0.6	0.5	0.7	0.4	0.9	0.5	0.7	0.6	0.0	0.3	0.9	0.6	0.6	0.3
CYP3A5	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed
CYP3A7	0.5	0.8	0.9	1.0	0.9	0.5	0.3	0.4	0.6	0.7	0.5	1.0	0.5	0.9	0.7	0.6	0.4
CYP3A7-CYP3A51P	0.2	0.3	0.0	0.1	0.0	0.0	0.0	0.1	0.2	0.2	0.1	0.0	0.1	0.0	0.1	0.3	0.0
CYP46A1	0.3	0.1	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.1	0.2	0.0	0.1	0.1	0.2	0.2
CYP4A11	0_confirmed	0.2	0.1	0.0	0.0	0_confirmed	0.1	0.1	0_confirmed	0.3	0_confirmed	0_confirmed	0.0	0.0	0.0	0_confirmed	0.1
CYP4A22	0.0	0_confirmed	0.1	0.2	0.0	0.1	0.2	0.0	0.1	0.0	0.0	0.0	0.3	0.1	0.0	0.0	0_confirmed
CYP4B1	0.7	1_confirmed	1_confirmed	1_confirmed	0.4	0.7	0.6	0.5	0.7	0.6	1_confirmed	0.0	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed
CYP4F11	0.1	0_confirmed	0.0	0.1	0.2	0.0	0_confirmed	0.0	0_confirmed	0_confirmed	0_confirmed	0_confirmed	0_confirmed	0.0	0_confirmed	0.2	0.1
CYP4F12	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.0	0.2	0.1	0.2	0.1	0.1	0.3	0.2	0.2	0.0
CYP4F2	0.5	0.3	0.1	0.3	0.0	0.6	0.8	0.6	0.2	0.9	0.7	0.1	0.7	0.2	0.3	0.9	1_confirmed
CYP4F22	0.2	0.1	0.1	0.0	0.2	0.2	0.1	0.0	0.2	0.1	0.0	0.1	0.1	0.3	0.0	0.3	0.0
CYP4F3	0.0	0_confirmed	0.3	0.0	0.0	0_confirmed	0.3	0.0	0.0	0.1	0_confirmed	0.2	0.0	0.0	0.1	0.1	0_confirmed
CYP4F8	0.1	0.1	0.0	0.1	0.0	0.0	0.2	0.0	0.0	0.1	0.0	0.0	0.1	0.1	0.0	0.1	0.1
CYP4V2	0.0	0.3	0.1	0.3	0.2	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.2	0.0	0.1
CYP4X1	0.3	0.8	1_confirmed	1_confirmed	0.3	0.5	0.6	0.6	0.6	0.5	1_confirmed	1.0	0.6	1_confirmed	0.7	0.6	0.8
CYP4Z1	0.5	0.7	1_confirmed	1_confirmed	0.3	0.6	0.6	0.6	0.7	0.6	1_confirmed	0.0	0.7	1_confirmed	0.8	0.6	0.7
CYP51A1	0.1	0.2	0.2	0.3	0.2	0.4	0.8	0.5	0.2	0.4	0.7	0.3	0.3	1_confirmed	0.3	0.7	0.8
CYP7A1	0_confirmed	0_confirmed	0.1	0.1	0.1	0_confirmed	0.2	0_confirmed	0_confirmed	0.2	0_confirmed	0.2	0_confirmed	0.3	0.0	0.1	0.1
CYP7B1	0.0	0.3	0.2	0.3	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.3	0.0	0.0
CYP8B1	0.0	0_confirmed	0.1	0.1	0.0	0_confirmed	0.0	0.1	0.0	0.0	0_confirmed	0.1	0.2	0.0	0.2	0.2	0.1
CYREN	0.1	0.0	0.1	0.0	0.2	0.2	0.0	0.1	0.0	0.0	0.2	0.1	0.1	0.1	0.2	0.0	0.1
CYRIA	0.2	0.0	0.0	0.2	0.2	0.0	0.1	0.1	0.0	0.0	0.2	0.0	0.0	0.3	0.2	0.1	0.2
CYRIB	0.0	0.0	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.3	0.0	0.2	0.1	0.2	0.1	0.0
CYS1	0.1	0.0	0.0	0.0	0.0	0.3	0.0	0.1	0.2	0.2	0.2	0.0	0.1	0.2	0.0	0.0	0.1
CYSLTR1	0.7	0.7	0.1	0_confirmed	0.9	0.9	1.0	0.9	0_confirmed	0.9	0.8	0.1	0_confirmed	0.6	1_confirmed	0.9	0.9
CYSLTR2	0.1	0.3	0_confirmed	0.1	0.6	0.1	0.7	0.3	0.2	0.2	0.1	0.2	0.0	0.1	0.4	0.2	0.3
CYSRT1	0.0	0.1	0.2	0.2	0.0	0.3	0.0	0.1	0.0	0.0	0.2	0.1	0.0	0.2	0.1	0.2	0.0
CYSTM1	0.0	0.2	0.2	0.0	0.0	0.0	0.1	0.0	0.2	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.0
CYTH1	0.1	0.0	0.0	0.1	0.1	0.1	0.1	0.2	0.1	0.2	0.0	0.1	0.1	0.1	0.4	0.0	0.0
CYTH2	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.2	0.0	0.2	0.1	0.0	0.1
CYTH3	0.1	0.1	0.2	0.0	0.0	0.1	0.2	0.0	0.1	0.1	0.3	0.0	0.0	0.1	0.0	0.1	0.2
CYTH4	0.1	0.0	0.2	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.2	0.0	0.2	0.2	0.1	0.2	0.0
CYTIP	0.2	0.0	0.0	0.1	0.0	0.0	0.2	0.1	0.2	0.3	0.0	0.1	0.3	0.0	0.1	0.2	0.2
CYTL1	0.0	0.0	0.0	0.1	0.1	0.1	0.2	0.3	0.0	0.1	0.3	0.0	0.0	0.0	0.0	0.0	0.1
CYYR1	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0
CZIB	0.0	0.2	0.0	0.1	0.2	0.1	0.2	0.0	0.1	0.1	0.2	0.2	0.1	0.0	0.3	0.0	0.0
D2HGDH	0.1	0.2	0.0	0.2	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.2	0.0	0.1
DAAM1	0.1	0.3	0.2	0.2	0.0	0.3	0.1	0.0	0.2	0.2	0.2	0.2	0.2	0.1	0.0	0.0	0.1
DAAM2	0.0	0.0	0.2	0.0	0.0	0.0	0.3	0.0	0.2	0.0	0.2	0.0	0.0	0.2	0.2	0.0	0.0
DAB1	0.0	0.2	0.1	0.1	0.1	0.0	0.0	0.1	0.0	0.2	0.1	0.1	0.3	0.1	0.1	0.1	0.1
DAB2	0.3	0.2	0.3	0.0	0.1	0.0	0.1	0.1	0.1	0.2	0.0	0.0	0.1	0.1	0.3	0.3	0.1
DAB2IP	0.0	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.0	0.1	0.2	0.1	0.1	0.2
DACH1	0.1	0.0	0.0	0.2	0.0	0.0	0.2	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.3
DACH2	0.3	0.1	0.2	0.0	0.1	0.2	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.2
DACT1	0.0	0.1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.2	0.0	0.2	0.0	0.0	0.0	0.2
DACT2	0.2	0.0	0.0	0.3	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0
DACT3	0.1	0.0	0.0	0.1	0.0	0.1	0.3	0.3	0.3	0.0	0.1	0.0	0.2	0.0	0.1	0.1	0.0
DAD1	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.2	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.1
DAG1	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.3	0.2	0.1	0.1	0.0
DAGLA	0_confirmed	0_confirmed	0.0	0.1	0.3	0_confirmed	0.1	0.1	0.1	0_confirmed	0_confirmed	0.1	0.0	0.1	0_confirmed	0_confirmed	0_confirmed
DAGLB	0_confirmed	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.0	0_confirmed	0_confirmed	0.2	0_confirmed	0.1	0.1	0.2	0_confirmed
DAK	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.2	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
DALRD3	0.2	0.0	0.0	0.0	0.3	0.0	0.2	0.2	0.0	0.2	0.0	0.3	0.2	0.1	0.2	0.0	0.3
DAND5	0.3	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.2	0.3	0.0	0.0	0.1	0.1	0.3	0.0
DAO	0.2	0.0	0.0	0_confirmed	0.0	0.0	0.0	0.1	0.2	0.2	0.0	0.1	0.0	0_confirmed	0.2	0.0	0.0
DAOA	0.0	0.8	0.7	0.4	0.4	0_confirmed	0.1	0.5	0_confirmed	0.1	0.6	0_confirmed	0.8	0.3	0_confirmed	0_confirmed	0_confirmed
DAP	0.1	0.0	0.1	0.2	0.3	0.0	0.2	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.1
DAP3	0.1	0.1	0.2	0.2	0.2	0.0	0.1	0.2	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.2	0.1
DAPK1	0_confirmed	0_confirmed	0_confirmed	0.1	0.5	0.1	0.1	0_confirmed	0_confirmed	0.1	0_confirmed	0.3	0_confirmed	0.1	0.2	0_confirmed	0_confirmed
DAPK2	0.0	0.0	0.0	0.3	0.0	0.1	0.0	0.1	0.0	0.1	0.1	0.1	0.0	0.1	0.1	0.0	0.0
DAPK3	0.1	0.0	0.0	0.2	0.0	0.0	0.3	0.2	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
DAPL1	0.0	0.0	0.0	0.0	0.2	0.1	0.1	0.0	0.2	0.2	0.0	0.1	0.1	0.1	0.0	0.1	0.3
DAPP1	0.2	0.1	0.1	0.0	0.2	0.2	0.0	0.1	0.2	0.2	0.0	0.2	0.1	0.3	0.0	0.2	0.2
DARS	0.1	0.0	0.2	0.0	0.2	0.0	0.0	0.1	0_confirmed	0_confirmed	0_confirmed	0.1	0_confirmed	0.0	0.0	0.1	0.1
DARS1	0.1	0.0	0.2	0.0	0.2	0.0	0.0	0.0	0.3	0.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0
DARS2	0.1	0.0	0.3	0.2	0.0	0.1	0.2	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.3	0.0
DAW1	0.1	0.2	0.2	0.1	0.1	0.2	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.2	0.1	0.0	0.1
DAXX	0.1	0.2	0.1	0.0	0.1	0.1	0.2	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.3	0.0	0.3
DAZ1	0.1	0.1	0.2	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.1	0.2	0.0	0.0	0.1
DAZ2	0.2	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
DAZ3	0.0	0.2	0.1	0.1	0.0	0.1	0.0	0.3	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0
DAZ4	0.1	0.0	0.2	0.0	0.2	0.0	0.0	0.0	0.2	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.0
DAZAP1	0.1	0.2	0.2	0.0	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0
DAZAP2	0.0	0.0	0.0	0.0	0.1	0.2	0.1	0.3	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.2	0.0
DAZL	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.3	0.2	0.2	0.0	0.1	0.1	0.1	0.0	0.1	0.0
DBF4	0.1	0.0	0.0	0.3	0.0	0.1	0.2	0.0	0.2	0.1	0.0	0.2	0.1	0.2	0.0	0.1	0.0
DBF4B	0.2	0.2	0.2	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.0	0.0	0.1	0.0
DBH	0.7	0.9	0.3	0.8	0.4	0.7	0.6	0.3	0.6	0.5	1_confirmed	0.0	0.4	0.9	0.5	0.7	1.0
DBI	0.0	0.1	0.2	0.1	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.1	0.1	0.0	0.0
DBN1	0.1	0.0	0.1	0.2	0.3	0.0	0.0	0.0	0.2	0.3	0.3	0.0	0.0	0.1	0.0	0.0	0.2
DBNDD1	0.2	0.0	0.1	0.0	0.1	0.1	0.0	0.3	0.1	0.0	0.0	0.1	0.2	0.2	0.0	0.3	0.1
DBNDD2	0.1	0.1	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.3	0.0	0.1	0.0
DBNL	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.2	0.0	0.0	0.3	0.0	0.0	0.0
DBP	0.1	0.0	0.0	0.1	0.0	0.0	0.2	0.0	0.0	0.3	0.1	0.1	0.0	0.1	0.2	0.1	0.1
DBR1	0.2	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0
DBT	0.1	0.1	0.0	0.1	0.3	0.0	0.1	0.1	0.0	0.0	0.1	0.3	0.1	0.0	0.0	0.0	0.2
DBX1	0.3	0.1	0.2	0.2	0.1	0.1	0.3	0.0	0.0	0.0	0.0	0.3	0.1	0.2	0.2	0.0	0.3
DBX2	0.0	0.2	0.2	0.1	0.1	0.3	0.0	0.0	0.2	0.0	0.0	0.0	0.1	0.1	0.0	0.3	0.0
DCAF1	0.5	0.3	0.0	0.3	0.1	0.1	0.1	0.1	0.1	0.3	0.1	0.1	0.3	0.1	0.2	0.2	0.1
DCAF10	0.1	0.1	0.2	0.1	0.0	0.0	0.0	0.0	0.3	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.0
DCAF11	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.1	0.0	0.0
DCAF12	0.2	0.0	0.2	0.0	0.0	0.1	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DCAF12L1	0.1	0.2	0.2	0.0	0.1	0.3	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.1	0.1	0.2
DCAF12L2	0.2	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.2	0.1	0.1	0.1	0.3	0.0	0.3	0.2	0.0
DCAF13	0.3	0.1	0.0	0.0	0.1	0.2	0.1	0.1	0.0	0.2	0.1	0.1	0.0	0.0	0.1	0.2	0.1
DCAF15	0.0	0.1	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.3	0.0	0.1
DCAF16	0.1	0.1	0.1	0.3	0.1	0.1	0.0	0.1	0.3	0.0	0.0	0.3	0.1	0.2	0.1	0.1	0.2
DCAF17	0.1	0.1	0.0	0.0	0.1	0.2	0.0	0.1	0.0	0.0	0.0	0.2	0.0	0.2	0.1	0.1	0.0
DCAF4	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.3
DCAF4L1	0.1	0.0	0.0	0.0	0.3	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.2
DCAF4L2	0.0	0.1	0.1	0.0	0.0	0.2	0.0	0.3	0.0	0.1	0.2	0.1	0.2	0.3	0.0	0.1	0.2
DCAF5	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.3	0.0	0.1	0.2	0.1	0.0	0.2
DCAF6	0.0	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.2	0.2
DCAF7	0.3	0.2	0.1	0.1	0.1	0.1	0.0	0.3	0.2	0.0	0.1	0.0	0.2	0.2	0.1	0.1	0.1
DCAF8	0.1	0.1	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1
DCAF8L1	0.0	0.2	0.0	0.0	0.3	0.0	0.0	0.3	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.3	0.0
DCAF8L2	0.0	0.2	0.0	0.0	0.1	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.2	0.0	0.1
DCAKD	0.0	0.0	0.1	0.1	0.0	0.0	0.3	0.2	0.0	0.0	0.0	0.2	0.0	0.0	0.2	0.1	0.0
DCANP1	0.2	0.1	0.1	0.0	0.1	0.1	0.0	0.3	0.2	0.1	0.0	0.3	0.0	0.0	0.2	0.0	0.0
DCBLD1	0_confirmed	0_confirmed	0.2	0_confirmed	0.5	0_confirmed	0.3	0_confirmed	0_confirmed	0.1	0_confirmed	0.1	0_confirmed	0.1	0_confirmed	0.3	0_confirmed
DCBLD2	0.0	0.0	0.2	0.2	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.1	0.0	0.1
DCC	0.1	0.1	0.0	0.0	0.1	0.1	0.0	0.2	0.1	0.1	0.1	0.0	0.1	0.2	0.4	0.1	0.3
DCD	0.0	0.1	0.2	0.2	0.0	0.1	0.2	0.1	0.1	0.1	0.0	0.0	0.2	0.0	0.1	0.0	0.1
DCDC1	0.0	0.1	0.1	0.0	0.0	0.0	0.2	0.3	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0
DCDC2	0.2	0.2	0.0	0.2	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.3	0.0	0.1	0.0	0.1
DCDC2B	0.0	0.0	0.0	0.1	0.2	0.1	0.0	0.0	0.2	0.0	0.2	0.1	0.0	0.0	0.0	0.2	0.1
DCDC2C	0.2	0.0	0.0	0.2	0.2	0.0	0.1	0.0	0.1	0.2	0.1	0.0	0.0	0.2	0.1	0.1	0.0
DCHS1	0.2	0.2	0.0	0.2	0.3	0.1	0.1	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.1	0.1
DCHS2	0.0	0.0	0.2	0.3	0.0	0.1	0.2	0.0	0.1	0.2	0.3	0.0	0.2	0.0	0.0	0.3	0.2
DCK	1_confirmed	1_confirmed	0.2	0.2	0.1	1_confirmed	0.3	0.4	1_confirmed	0.1	0.1	0.0	0.7	0.1	1_confirmed	1_confirmed	1_confirmed
DCLK1	0.0	0.0	0.1	0.3	0.0	0.0	0.2	0.0	0.0	0.1	0.1	0.2	0.0	0.3	0.1	0.2	0.3
DCLK2	0.0	0.2	0.0	0.0	0.2	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.1	0.0	0.2	0.2
DCLK3	0.3	0.2	0.0	0.0	0.1	0.2	0.3	0.0	0.0	0.1	0.0	0.2	0.1	0.0	0.0	0.1	0.1
DCLRE1A	0.2	0.0	0.3	0.3	0.0	0.2	0.0	0.2	0.3	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.2
DCLRE1B	0.2	0.1	0.0	0.2	0.0	0.1	0.0	0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.2	0.2
DCLRE1C	0.1	0.0	0.2	0.0	0.1	0.0	0.1	0.1	0.0	0.0	0.1	0.0	0.1	0.3	0.0	0.0	0.1
DCN	0_confirmed	0.0	0.1	0.1	0_confirmed	0.2	0_confirmed	0.4	0_confirmed	0.1	0.1	0.1	0.2	0.1	0.3	0.2	0_confirmed
DCP1A	0.1	0.1	0.1	0.0	0.2	0.0	0.1	0.0	0.1	0.0	0.1	0.1	0.0	0.3	0.2	0.2	0.3
DCP1B	0.1	0.2	0.0	0.0	0.1	0.0	0.0	0.0	0.2	0.2	0.1	0.0	0.2	0.2	0.0	0.0	0.2
DCP2	0.1	0.1	0.0	0.1	0.2	0.1	0.0	0.2	0.2	0.1	0.1	0.0	0.2	0.0	0.2	0.0	0.1
DCPS	0.0	0.1	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.2	0.0	0.0	0.1	0.0	0.0
DCST1	0.0	0.2	0.1	0.1	0.0	0.0	0.0	0.3	0.1	0.0	0.2	0.0	0.0	0.0	0.3	0.0	0.0
DCST2	0.0	0.1	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.1	0.0	0.2	0.0	0.1
DCSTAMP	0.0	0.0	0.3	0.0	0.1	0.0	0.1	0.0	0.0	0.3	0.1	0.1	0.1	0.2	0.0	0.1	0.3
DCT	0.3	0.0	0.1	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.2	0.0	0.0	0.1	0.0	0.0	0.0
DCTD	0_confirmed	0.1	0.1	0.3	0_confirmed	0.0	0.1	0.1	0.4	0_confirmed	0_confirmed	0.1	0.2	0.0	0_confirmed	0_confirmed	0_confirmed
DCTN1	0.2	0.0	0.0	0.1	0.3	0.0	0.0	0.1	0.0	0.1	0.3	0.1	0.1	0.1	0.1	0.1	0.0
DCTN2	0.3	0.0	0.0	0.0	0.0	0.2	0.2	0.2	0.1	0.3	0.0	0.0	0.3	0.1	0.2	0.1	0.0
DCTN3	0.2	0.0	0.0	0.1	0.2	0.1	0.0	0.3	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.2
DCTN4	0.1	0.1	0.1	0.2	0.2	0.0	0.1	0.0	0.1	0.2	0.1	0.0	0.1	0.2	0.0	0.0	0.1
DCTN5	0.2	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.4	0.1	0.0	0.2	0.2	0.0
DCTN6	0.2	0.0	0.1	0.0	0.0	0.1	0.0	0.2	0.0	0.0	0.2	0.2	0.1	0.0	0.0	0.0	0.0
DCTPP1	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.1
DCUN1D1	0.0	0.1	0.0	0.3	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.2	0.2	0.1	0.0
DCUN1D2	0.0	0.1	0.2	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.0	0.0	0.2	0.1	0.1	0.0	0.1
DCUN1D3	0.1	0.0	0.0	0.0	0.2	0.0	0.2	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0
DCUN1D4	0.0	0.2	0.1	0.0	0.0	0.2	0.2	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0
DCUN1D5	0.0	0.3	0.1	0.2	0.3	0.1	0.0	0.1	0.1	0.3	0.0	0.0	0.0	0.3	0.0	0.1	0.2
DCX	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.3	0.2	0.0
DCXR	0.6	0.7	0.5	0.6	0.4	0.9	0.4	0.2	0_confirmed	0_confirmed	0.3	0_confirmed	0.3	0.8	0.3	0.4	0.9
DDA1	0.1	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.1
DDAH1	0.1	0.1	0.2	0.3	0.0	0.0	0.1	0.2	0.3	0.0	0.0	0.1	0.1	0.0	0.2	0.2	0.2
DDAH2	0.1	0.1	0.2	0.0	0.1	0.1	0.2	0.3	0.1	0.2	0.1	0.2	0.1	0.2	0.1	0.1	0.1
DDB1	0.9	0.9	0.5	0.1	0.8	0.9	0.4	0.4	0.7	0.8	1_confirmed	0.0	0.2	0.1	0.9	0.9	1_confirmed
DDB2	0.0	0.0	0.0	0.1	0.2	0.2	0.1	0.1	0.2	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1
DDC	0.3	0.8	0.3	0.3	0.9	0.7	0.2	0.8	0.2	0.7	0.6	0.1	0.1	0.7	0.1	0.8	0.7
DDHD1	0_confirmed	0.0	0.1	0.0	0.0	0.0	0.1	0.1	0_confirmed	0_confirmed	0_confirmed	0.1	0.1	0_confirmed	0_confirmed	0_confirmed	0_confirmed
DDHD2	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.0
DDI1	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.2	0.2	0.1	0.1	0.2	0.1	0.0	0.0	0.1	0.2
DDI2	0.1	0.0	0.1	0.0	0.2	0.0	0.3	0.0	0.1	0.0	0.0	0.2	0.0	0.2	0.0	0.2	0.2
DDIAS	0.0	0.0	0.0	0.0	0.0	0.3	0.1	0.2	0.1	0.2	0.0	0.0	0.0	0.0	0.2	0.0	0.0
DDIT3	0.3	0.2	0.5	0.1	0.4	0.2	0.1	0.2	0.1	0.1	0.3	0.3	0.1	0.4	0.2	0.2	0.0
DDIT4	0.0	0.2	0.0	0.2	0.0	0.0	0.2	0.1	0.2	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.2
DDIT4L	0.1	0.0	0.2	0.3	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.1
DDN	0.3	0.2	0.0	0.0	0.1	0.0	0.2	0.0	0.2	0.0	0.1	0.0	0.0	0.1	0.2	0.0	0.0
DDO	0_confirmed	0.2	0.1	0.0	0.2	0.2	0.4	0.3	0.1	0_confirmed	0.3	0.1	0.1	0.0	0.1	0_confirmed	0.2
DDOST	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.3	0.1	0.1	0.0	0.1
DDR1	0.3	0.3	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.2	0.1	0.0	0.3	0.1	0.2	0.1	0.1
DDR2	1_confirmed	1_confirmed	0.3	0.4	0.7	1_confirmed	1_confirmed	0.1	1_confirmed	0.2	1_confirmed	0.1	1_confirmed	0.1	1_confirmed	1_confirmed	1_confirmed
DDRGK1	0.2	0.1	0.1	0.1	0.2	0_confirmed	0.1	0_confirmed	0_confirmed	0_confirmed	0.3	0.0	0.0	0.1	0.0	0_confirmed	0.1
DDT	0.0	0.1	0.0	0.1	0.1	0.2	0.0	0.0	0.1	0.0	0.0	0.2	0.0	0.2	0.0	0.2	0.2
DDTL	0.0	0.2	0.2	0.0	0.2	0.2	0.3	0.0	0.1	0.0	0.0	0.1	0.3	0.3	0.2	0.1	0.2
DDX1	0.0	0.0	0.3	0.2	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.2	0.2	0.0	0.0	0.1
DDX10	0.0	0.1	0.0	0.0	0.0	0.2	0.1	0.0	0.3	0.0	0.1	0.2	0.2	0.1	0.0	0.0	0.1
DDX11	0.3	0.0	0.0	0.0	0.1	0.0	0.2	0.0	0.1	0.1	0.3	0.1	0.3	0.1	0.1	0.0	0.1
